human_selector_action;human_selector_location;world_nr;tick_nr
;(3, 4);1;0
;(3, 4);1;1
;(3, 4);1;2
;(3, 4);1;3
;(3, 4);1;4
;(3, 4);1;5
;(3, 4);1;6
;(3, 4);1;7
;(3, 4);1;8
;(3, 4);1;9
;(3, 4);1;10
;(3, 4);1;11
;(3, 4);1;12
;(3, 4);1;13
;(3, 4);1;14
;(3, 4);1;15
;(3, 4);1;16
;(3, 4);1;17
;(3, 4);1;18
;(3, 4);1;19
;(3, 4);1;20
;(3, 4);1;21
;(3, 4);1;22
;(3, 4);1;23
;(3, 4);1;24
;(3, 4);1;25
;(3, 4);1;26
;(3, 4);1;27
;(3, 4);1;28
;(3, 4);1;29
;(3, 4);1;30
;(3, 4);1;31
;(3, 4);1;32
;(3, 4);1;33
;(3, 4);1;34
;(3, 4);1;35
;(3, 4);1;36
;(3, 4);1;37
;(3, 4);1;38
;(3, 4);1;39
;(3, 4);1;40
;(3, 4);1;41
;(3, 4);1;42
;(3, 4);1;43
;(3, 4);1;44
;(3, 4);1;45
;(3, 4);1;46
;(3, 4);1;47
;(3, 4);1;48
;(3, 4);1;49
;(3, 4);1;50
;(3, 4);1;51
;(3, 4);1;52
;(3, 4);1;53
;(3, 4);1;54
;(3, 4);1;55
;(3, 4);1;56
;(3, 4);1;57
;(3, 4);1;58
;(3, 4);1;59
;(3, 4);1;60
;(3, 4);1;61
;(3, 4);1;62
;(3, 4);1;63
MoveEast;(4, 4);1;64
;(4, 4);1;65
;(4, 4);1;66
;(4, 4);1;67
;(4, 4);1;68
;(4, 4);1;69
;(4, 4);1;70
MoveEast;(5, 4);1;71
MoveEast;(6, 4);1;72
MoveEast;(7, 4);1;73
MoveEast;(8, 4);1;74
MoveEast;(9, 4);1;75
;(9, 4);1;76
;(9, 4);1;77
;(9, 4);1;78
;(9, 4);1;79
;(9, 4);1;80
;(9, 4);1;81
;(9, 4);1;82
;(9, 4);1;83
;(9, 4);1;84
;(9, 4);1;85
;(9, 4);1;86
;(9, 4);1;87
;(9, 4);1;88
MoveSouth;(9, 5);1;89
;(9, 5);1;90
;(9, 5);1;91
;(9, 5);1;92
MoveWest;(8, 5);1;93
;(8, 5);1;94
;(8, 5);1;95
;(8, 5);1;96
;(8, 5);1;97
;(8, 5);1;98
;(8, 5);1;99
;(8, 5);1;100
;(8, 5);1;101
;(8, 5);1;102
;(8, 5);1;103
;(8, 5);1;104
;(8, 5);1;105
MoveEast;(9, 5);1;106
;(9, 5);1;107
;(9, 5);1;108
;(9, 5);1;109
;(9, 5);1;110
;(9, 5);1;111
;(9, 5);1;112
;(9, 5);1;113
;(9, 5);1;114
;(9, 5);1;115
GrabObject;(9, 5);1;116
;(9, 5);1;117
;(9, 5);1;118
;(9, 5);1;119
MoveWest;(8, 5);1;120
;(8, 5);1;121
;(8, 5);1;122
MoveWest;(7, 5);1;123
;(7, 5);1;124
;(7, 5);1;125
MoveWest;(6, 5);1;126
;(6, 5);1;127
;(6, 5);1;128
MoveWest;(5, 5);1;129
;(5, 5);1;130
MoveWest;(4, 5);1;131
;(4, 5);1;132
;(4, 5);1;133
DropObject;(4, 5);1;134
MoveEast;(5, 5);1;135
;(5, 5);1;136
;(5, 5);1;137
MoveEast;(6, 5);1;138
;(6, 5);1;139
;(6, 5);1;140
MoveEast;(7, 5);1;141
;(7, 5);1;142
MoveEast;(8, 5);1;143
;(8, 5);1;144
;(8, 5);1;145
MoveEast;(9, 5);1;146
;(9, 5);1;147
;(9, 5);1;148
;(9, 5);1;149
;(9, 5);1;150
;(9, 5);1;151
GrabObject;(9, 5);1;152
;(9, 5);1;153
MoveWest;(8, 5);1;154
;(8, 5);1;155
;(8, 5);1;156
MoveWest;(7, 5);1;157
;(7, 5);1;158
;(7, 5);1;159
MoveWest;(6, 5);1;160
;(6, 5);1;161
;(6, 5);1;162
MoveWest;(5, 5);1;163
;(5, 5);1;164
MoveWest;(4, 5);1;165
;(4, 5);1;166
;(4, 5);1;167
MoveWest;(3, 5);1;168
;(3, 5);1;169
DropObject;(3, 5);1;170
;(3, 5);1;171
MoveEast;(4, 5);1;172
;(4, 5);1;173
;(4, 5);1;174
MoveEast;(5, 5);1;175
;(5, 5);1;176
MoveEast;(6, 5);1;177
;(6, 5);1;178
;(6, 5);1;179
;(6, 5);1;180
;(6, 5);1;181
;(6, 5);1;182
MoveSouth;(6, 6);1;183
;(6, 6);1;184
;(6, 6);1;185
MoveEast;(7, 6);1;186
;(7, 6);1;187
;(7, 6);1;188
;(7, 6);1;189
;(7, 6);1;190
;(7, 6);1;191
MoveEast;(8, 6);1;192
;(8, 6);1;193
;(8, 6);1;194
MoveEast;(9, 6);1;195
;(9, 6);1;196
;(9, 6);1;197
;(9, 6);1;198
MoveWest;(8, 6);1;199
;(8, 6);1;200
;(8, 6);1;201
MoveWest;(7, 6);1;202
;(7, 6);1;203
;(7, 6);1;204
MoveWest;(6, 6);1;205
;(6, 6);1;206
;(6, 6);1;207
MoveWest;(5, 6);1;208
;(5, 6);1;209
MoveWest;(4, 6);1;210
;(4, 6);1;211
;(4, 6);1;212
;(4, 6);1;213
;(4, 6);1;214
;(4, 6);1;215
;(4, 6);1;216
;(4, 6);1;217
MoveEast;(5, 6);1;218
;(5, 6);1;219
MoveEast;(6, 6);1;220
;(6, 6);1;221
;(6, 6);1;222
MoveEast;(7, 6);1;223
;(7, 6);1;224
;(7, 6);1;225
MoveEast;(8, 6);1;226
;(8, 6);1;227
;(8, 6);1;228
;(8, 6);1;229
MoveEast;(9, 6);1;230
;(9, 6);1;231
;(9, 6);1;232
;(9, 6);1;233
;(9, 6);1;234
GrabObject;(9, 6);1;235
;(9, 6);1;236
MoveWest;(8, 6);1;237
;(8, 6);1;238
;(8, 6);1;239
MoveWest;(7, 6);1;240
;(7, 6);1;241
MoveWest;(6, 6);1;242
;(6, 6);1;243
;(6, 6);1;244
MoveWest;(5, 6);1;245
;(5, 6);1;246
;(5, 6);1;247
MoveWest;(4, 6);1;248
;(4, 6);1;249
MoveWest;(3, 6);1;250
;(3, 6);1;251
DropObject;(3, 6);1;252
;(3, 6);1;253
MoveEast;(4, 6);1;254
;(4, 6);1;255
;(4, 6);1;256
MoveEast;(5, 6);1;257
;(5, 6);1;258
;(5, 6);1;259
MoveEast;(6, 6);1;260
;(6, 6);1;261
;(6, 6);1;262
;(6, 6);1;263
;(6, 6);1;264
;(6, 6);1;265
MoveEast;(7, 6);1;266
MoveEast;(8, 6);1;267
MoveEast;(9, 6);1;268
MoveEast;(10, 6);1;269
MoveEast;(11, 6);1;270
;(11, 6);1;271
MoveSouth;(11, 7);1;272
;(11, 7);1;273
;(11, 7);1;274
MoveSouth;(11, 8);1;275
;(11, 8);1;276
;(11, 8);1;277
;(11, 8);1;278
;(11, 8);1;279
;(11, 8);1;280
;(11, 8);1;281
;(11, 8);1;282
;(11, 8);1;283
MoveSouth;(11, 9);1;284
;(11, 9);1;285
;(11, 9);1;286
;(11, 9);1;287
MoveWest;(10, 9);1;288
;(10, 9);1;289
;(10, 9);1;290
;(10, 9);1;291
;(10, 9);1;292
MoveWest;(9, 9);1;293
;(9, 9);1;294
;(9, 9);1;295
;(9, 9);1;296
MoveNorth;(9, 8);1;297
;(9, 8);1;298
MoveWest;(8, 8);1;299
;(8, 8);1;300
;(8, 8);1;301
;(8, 8);1;302
GrabObject;(8, 8);1;303
;(8, 8);1;304
;(8, 8);1;305
MoveWest;(7, 8);1;306
;(7, 8);1;307
;(7, 8);1;308
MoveWest;(6, 8);1;309
;(6, 8);1;310
;(6, 8);1;311
;(6, 8);1;312
;(6, 8);1;313
;(6, 8);1;314
MoveWest;(5, 8);1;315
;(5, 8);1;316
;(5, 8);1;317
MoveWest;(4, 8);1;318
;(4, 8);1;319
;(4, 8);1;320
DropObject;(4, 8);1;321
MoveEast;(5, 8);1;322
;(5, 8);1;323
;(5, 8);1;324
MoveEast;(6, 8);1;325
;(6, 8);1;326
;(6, 8);1;327
MoveEast;(7, 8);1;328
;(7, 8);1;329
;(7, 8);1;330
MoveEast;(8, 8);1;331
;(8, 8);1;332
;(8, 8);1;333
MoveEast;(9, 8);1;334
;(9, 8);1;335
;(9, 8);1;336
;(9, 8);1;337
;(9, 8);1;338
;(9, 8);1;339
;(9, 8);1;340
;(9, 8);1;341
;(9, 8);1;342
;(9, 8);1;343
GrabObject;(9, 8);1;344
;(9, 8);1;345
;(9, 8);1;346
MoveWest;(8, 8);1;347
;(8, 8);1;348
MoveWest;(7, 8);1;349
;(7, 8);1;350
;(7, 8);1;351
MoveWest;(6, 8);1;352
;(6, 8);1;353
;(6, 8);1;354
MoveWest;(5, 8);1;355
;(5, 8);1;356
MoveWest;(4, 8);1;357
;(4, 8);1;358
;(4, 8);1;359
MoveWest;(3, 8);1;360
;(3, 8);1;361
;(3, 8);1;362
DropObject;(3, 8);1;363
MoveEast;(4, 8);1;364
;(4, 8);1;365
