human_selector;human;machine;victim;gravitygod;rewardgod;ontologygod;robot;world_nr;tick_nr
1;1;1;1;1;1;1;1;1;0
1;1;1;0;0;1;1;1;1;1
1;1;1;0;0;1;1;1;1;2
1;1;1;0;0;1;1;1;1;3
1;1;1;0;0;1;1;0;1;4
1;1;1;0;0;1;1;0;1;5
0;1;1;0;0;1;1;0;1;6
0;1;1;0;0;1;1;0;1;7
1;1;1;0;0;1;1;0;1;8
1;1;1;0;0;1;1;0;1;9
0;1;1;0;0;1;1;0;1;10
1;1;1;0;0;1;1;0;1;11
1;1;1;0;0;1;1;0;1;12
0;1;1;0;0;1;1;0;1;13
1;1;1;0;0;1;1;0;1;14
1;1;1;0;0;1;1;0;1;15
1;1;1;0;0;1;1;0;1;16
1;1;1;0;0;1;1;0;1;17
1;1;1;0;0;1;1;0;1;18
1;1;1;0;0;1;1;0;1;19
1;1;1;0;0;1;1;0;1;20
1;1;1;0;0;1;1;0;1;21
0;1;1;0;0;1;1;0;1;22
1;1;1;0;0;1;1;0;1;23
1;1;1;0;0;1;1;0;1;24
1;1;1;0;0;1;1;0;1;25
1;1;1;0;0;1;1;0;1;26
0;1;1;0;0;1;1;0;1;27
1;1;1;0;0;1;1;0;1;28
1;1;1;0;0;1;1;0;1;29
0;1;1;0;0;1;1;0;1;30
1;1;1;0;0;1;1;0;1;31
0;1;1;0;0;1;1;0;1;32
1;1;1;0;0;1;1;0;1;33
0;1;1;0;0;1;1;0;1;34
1;1;1;0;0;1;1;0;1;35
1;1;1;0;0;1;1;0;1;36
0;1;1;0;0;1;1;0;1;37
1;1;1;0;0;1;1;0;1;38
1;1;1;0;0;1;1;0;1;39
0;1;1;0;0;1;1;0;1;40
1;1;1;0;0;1;1;0;1;41
1;1;1;0;0;1;1;0;1;42
0;1;1;0;0;1;1;0;1;43
1;1;1;0;0;1;1;0;1;44
1;1;1;0;0;1;1;0;1;45
1;1;1;0;0;1;1;0;1;46
1;1;1;0;0;1;1;0;1;47
1;1;1;0;0;1;1;1;1;48
0;1;1;0;0;1;1;1;1;49
1;1;1;0;0;1;1;0;1;50
1;1;1;0;0;1;1;0;1;51
0;1;1;0;0;1;1;0;1;52
1;1;1;0;0;1;1;0;1;53
1;1;1;0;0;1;1;0;1;54
1;1;1;0;0;1;1;0;1;55
1;1;1;0;0;1;1;0;1;56
1;1;1;0;0;1;1;0;1;57
0;1;1;0;0;1;1;0;1;58
0;1;1;0;0;1;1;0;1;59
0;1;1;0;0;1;1;0;1;60
0;1;1;0;0;1;1;0;1;61
0;1;1;0;0;1;1;0;1;62
0;1;1;0;0;1;1;0;1;63
0;1;1;0;0;1;1;0;1;64
1;1;1;0;0;1;1;0;1;65
0;1;1;0;0;1;1;0;1;66
1;1;1;0;0;1;1;0;1;67
1;1;1;0;0;1;1;0;1;68
0;1;1;0;0;1;1;0;1;69
1;1;1;0;0;1;1;0;1;70
1;1;1;0;0;1;1;0;1;71
1;1;1;0;0;1;1;0;1;72
1;1;1;0;0;1;1;0;1;73
1;1;1;0;0;1;1;0;1;74
1;1;1;0;0;1;1;0;1;75
1;1;1;0;0;1;1;0;1;76
1;1;1;0;0;1;1;0;1;77
1;1;1;0;0;1;1;0;1;78
0;1;1;0;0;1;1;0;1;79
1;1;1;0;0;1;1;0;1;80
0;1;1;0;0;1;1;0;1;81
1;1;1;0;0;1;1;0;1;82
0;1;1;0;0;1;1;0;1;83
1;1;1;0;0;1;1;0;1;84
1;1;1;0;0;1;1;0;1;85
0;1;1;0;0;1;1;0;1;86
1;1;1;0;0;1;1;0;1;87
1;1;1;0;0;1;1;0;1;88
0;1;1;0;0;1;1;0;1;89
1;1;1;0;0;1;1;0;1;90
0;1;1;0;0;1;1;0;1;91
1;1;1;0;0;1;1;0;1;92
1;1;1;0;0;1;1;0;1;93
0;1;1;0;0;1;1;0;1;94
1;1;1;0;0;1;1;0;1;95
1;1;1;0;0;1;1;0;1;96
0;1;1;0;0;1;1;0;1;97
1;1;1;0;0;1;1;0;1;98
1;1;1;0;0;1;1;0;1;99
0;1;1;0;0;1;1;0;1;100
1;1;1;0;0;1;1;0;1;101
1;1;1;0;0;1;1;0;1;102
1;1;1;0;0;1;1;0;1;103
1;1;1;0;0;1;1;0;1;104
1;1;1;0;0;1;1;0;1;105
0;1;1;0;0;1;1;0;1;106
1;1;1;0;0;1;1;0;1;107
0;1;1;0;0;1;1;0;1;108
0;1;1;0;0;1;1;0;1;109
1;1;1;0;0;1;1;0;1;110
